Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
Shimashki,40,25,60.0,35,2213 BCE,1752 BCE
Shinuhtu,30,35,40.0,40,826 BCE,718 BCE
Shu,100,25,115.0,35,1075 BCE,316 BCE
Shu Bao,115,30,120.0,35,770 BCE,601 BCE
Shu Yong,115,30,120.0,35,770 BCE,601 BCE
Shu jiu,115,30,120.0,35,770 BCE,601 BCE
Shu long,115,30,120.0,35,770 BCE,601 BCE
Shu(2),115,30,120.0,35,770 BCE,615 BCE
Shubria,40,35,45.0,40,735 BCE,673 BCE
Shurparaka,70,15,75.0,25,610 BCE,301 BCE
Sicans,10,35,20.0,40,1450 BCE,409 BCE
Sicelia,10,35,20.0,40,461 BCE,392 BCE
Sicels,10,35,20.0,40,1000 BCE,409 BCE
Sicyon,20,35,25.0,40,655 BCE,445 BCE
Sidicini,12,40,18.0,45,438 BCE,334 BCE
Sierra Leone,-15,5,-10.0,15,1990 CE,present
Sikanoi,10,35,15.0,40,500 BCE,405 BCE
Sikeloi,10,35,20.0,40,500 BCE,440 BCE
Simurrum,45,30,50.0,40,2064 BCE,1600 BCE
Sindhu,65,25,75.0,30,610 BCE,515 BCE
Singapore,100,0,105.0,5,1990 CE,present
Sinope,30,40,36.0,45,323 BCE,1 BCE
Sivi,65,25,70.0,30,610 BCE,543 BCE
Slavs,16,45,40.0,55,2050 BCE,1 BCE
Slovakia,12,45,24.0,50,1990 CE,present
Slovenia,12,45,18.0,50,1990 CE,present
Sogdians,65,35,75.0,45,1700 BCE,532 BCE
Solomon Islands,155,-15,170.0,-5,1990 CE,present
Somalia,40,-5,55.0,15,1990 CE,present
Song,110,30,120.0,40,770 BCE,286 BCE
South Africa,15,-50,42.0,-20,1990 CE,present
South China Peoples,105,25,125.0,35,2400 BCE,1 BCE
South Korea,120,30,135.0,40,1990 CE,present
Spain,-20,25,6.0,45,1990 CE,present
Spratly Islands,110,5,120.0,15,1990 CE,present
Sri Lanka,75,5,85.0,10,1990 CE,present
St. Kitts and Nevis,-65,15,-60.0,20,1990 CE,present
St. Lucia,-65,10,-60.0,15,1990 CE,present
St. Vincent and the Grenadines,-65,10,-60.0,15,1990 CE,present
Stasis,10,30,45.0,45,636 BCE,278 BCE
Su,115,35,120.0,40,770 BCE,684 BCE
Subarctic Peoples,-168,45,-56.0,70,2400 BCE,1 BCE
Subartum,40,35,45.0,40,1741 BCE,1615 BCE
Succession struggle,12,25,120.0,45,816 BCE,289 BCE
Sudan,20,0,40.0,25,1990 CE,present
Suhma,85,20,90.0,25,610 BCE,345 BCE
Suhne,40,35,45.0,40,931 BCE,863 BCE
Suhu,40,30,45.0,35,1120 BCE,612 BCE
Sui,110,30,115.0,35,770 BCE,640 BCE
Sui(2),115,35,120.0,40,770 BCE,681 BCE
Surasena,75,25,80.0,30,900 BCE,360 BCE
Suriname,-60,0,-50.0,10,1990 CE,present
Swaziland,30,-30,35.0,-25,1990 CE,present
Sweden,8,55,36.0,70,1990 CE,present
Switzerland,0,45,12.0,50,1990 CE,present
Syracuse,6,35,30.0,45,715 BCE,1 BCE
Syracuse exiles,10,35,20.0,40,316 BCE,305 BCE
Syria,35,30,45.0,40,1990 CE,present
São Tomé and Príncipe,5,-5,10.0,5,1990 CE,present
Tabal,30,35,40.0,40,1190 BCE,678 BCE
Taiwan,115,20,125.0,30,1990 CE,present
Tajikistan,65,35,80.0,45,1990 CE,present
Tan,115,30,120.0,40,770 BCE,473 BCE
Tan(2),115,35,120.0,40,770 BCE,684 BCE
Tanagra,20,35,25.0,40,386 BCE,382 BCE
Tang,110,30,115.0,35,770 BCE,505 BCE
Tanzania,25,-15,45.0,0,1990 CE,present
Taras,12,40,24.0,45,500 BCE,380 BCE
Tarhuntassa,30,35,35.0,40,1535 BCE,1200 BCE
Tartessos,-10,35,-5.0,40,1000 BCE,1 BCE
Taulanti,15,35,25.0,45,800 BCE,279 BCE
Tauromenion,15,35,20.0,40,288 BCE,1 BCE
Taxila,70,30,75.0,40,338 BCE,326 BCE
Tegea,20,35,25.0,40,423 BCE,1 BCE
Teng,115,30,120.0,40,770 BCE,297 BCE
Terramare Culture,6,40,12.0,50,1550 BCE,1250 BCE
Teutons,0,50,24.0,65,2050 BCE,1 BCE
Thai Peoples,95,20,105.0,35,2400 BCE,1 BCE
Thailand,95,5,110.0,25,1990 CE,present
Theban Ally,18,35,30.0,45,370 BCE,338 BCE
Thebes,18,35,36.0,45,386 BCE,1 BCE
Thespiae,20,35,25.0,40,386 BCE,378 BCE
Thesprotia,20,35,25.0,40,395 BCE,350 BCE
Thesprotians,20,35,25.0,40,500 BCE,430 BCE
Thessaly,18,35,25.0,45,650 BCE,276 BCE
Thracians,18,40,30.0,50,1450 BCE,1 BCE
Thraco Cimmerians,18,40,54.0,50,2400 BCE,1450 BCE
Thraikes,18,40,30.0,45,500 BCE,1 BCE
Three Guards Rebellion,110,30,125.0,40,1042 BCE,1039 BCE
Three Yi Tribes,115,25,125.0,30,770 BCE,1 BCE
Thyni,24,40,30.0,45,469 BCE,400 BCE
Tian Qi,110,30,125.0,45,481 BCE,1 BCE
Tian clan,115,35,120.0,40,500 BCE,481 BCE
Tibur,12,40,18.0,45,388 BCE,341 BCE
Togo,-5,5,5.0,15,1990 CE,present
Tong,115,30,120.0,35,770 BCE,615 BCE
Tonga,-175,-25,185.0,-15,1990 CE,present
Triballi,18,40,30.0,45,445 BCE,1 BCE
Trigarta,70,30,80.0,35,950 BCE,323 BCE
Trinidad and Tobago,-65,10,-60.0,15,1990 CE,present
Triphylia,20,35,25.0,40,725 BCE,1 BCE
Troezen,20,35,25.0,40,494 BCE,1 BCE
Tuhe,114,40,126.0,45,770 BCE,307 BCE
Tummanna,30,35,36.0,45,1535 BCE,1325 BCE
Tunisia,5,30,15.0,40,1990 CE,present
Turkey,24,35,48.0,45,1990 CE,present
Turkmenistan,48,35,70.0,45,1990 CE,present
Turks and Caicos Islands,-75,20,-70.0,25,1990 CE,present
Tuvalu,175,-10,180.0,-5,1990 CE,present
Tuwana,30,35,40.0,40,826 BCE,635 BCE
Tymphaea,18,35,25.0,45,430 BCE,368 BCE
Tyranny of Syracuse,5,30,25.0,45,478 BCE,278 BCE
Uelikukhi,40,35,50.0,45,880 BCE,706 BCE
Uganda,25,-5,40.0,5,1990 CE,present
Ugrians,36,50,72.0,70,750 BCE,1 BCE
Ukraine,16,40,42.0,55,1990 CE,present
Umbri,12,40,18.0,45,800 BCE,308 BCE
Umbria,6,40,18.0,45,438 BCE,290 BCE
Umbrii,12,40,18.0,45,500 BCE,438 BCE
Umma,45,30,50.0,35,2394 BCE,2309 BCE
United Arab Emirates,50,20,60.0,30,1990 CE,present
United Kingdom,-135,-60,75.0,65,1990 CE,present
United States,-176,-15,192.0,75,1990 CE,present
Ur III Tributary,40,25,55.0,40,2108 BCE,2018 BCE
Urartu,35,35,50.0,45,935 BCE,591 BCE
Urartu Tributary,35,35,50.0,45,802 BCE,714 BCE
Uruguay,-60,-40,-50.0,-30,1990 CE,present
Usinara,75,25,80.0,35,610 BCE,354 BCE
Utica,5,35,15.0,40,950 BCE,948 BCE
Utkala,85,15,90.0,25,610 BCE,345 BCE
Uzbekistan,54,35,78.0,50,1990 CE,present
Vajjika League,80,25,90.0,30,610 BCE,468 BCE
Valdivia Culture,-85,-5,-80.0,0,2400 BCE,1700 BCE
Vanga,85,20,95.0,25,675 BCE,311 BCE
Vanuatu,165,-25,175.0,-10,1990 CE,present
Vatsa,75,20,85.0,30,875 BCE,492 BCE
Vemaka,75,30,80.0,35,450 BCE,1 BCE
Veneti,6,45,18.0,50,800 BCE,1 BCE
Venezuela,-75,0,-55.0,15,1990 CE,present
Vestini,12,40,18.0,45,438 BCE,302 BCE
Vidarbha,75,15,85.0,25,700 BCE,301 BCE
Videha,80,25,90.0,30,800 BCE,610 BCE
Vietnam,100,5,110.0,25,1990 CE,present
Vitihotras,70,20,80.0,25,400 BCE,350 BCE
Volga Battle Axe Culture,16,50,64.0,65,2050 BCE,1250 BCE
Volsci,12,40,18.0,45,800 BCE,341 BCE
Vriji,80,25,90.0,30,700 BCE,590 BCE
Wahsusana,30,35,35.0,40,1775 BCE,1626 BCE
Wei,105,30,120.0,40,1750 BCE,1 BCE
Wei clan,110,35,115.0,40,500 BCE,453 BCE
Wen,110,30,115.0,35,1750 BCE,1606 BCE
West African Peoples,-20,5,15.0,20,2400 BCE,1 BCE
Western Guo,110,30,115.0,40,771 BCE,655 BCE
Western Mediterraneans,-16,35,24.0,60,2400 BCE,1 BCE
Western Odrysia,18,40,30.0,45,359 BCE,352 BCE
Western Rong,100,30,110.0,40,771 BCE,361 BCE
Wey,110,30,120.0,40,770 BCE,1 BCE
White Di,105,35,115.0,40,770 BCE,407 BCE
Wilusa,24,35,30.0,45,1535 BCE,1205 BCE
Wu,110,25,125.0,40,1200 BCE,470 BCE
Wucheng Culture,105,25,125.0,35,1450 BCE,958 BCE
Wushi Rong,105,35,110.0,40,771 BCE,314 BCE
Wuzhong,110,35,120.0,45,770 BCE,456 BCE
Xi,110,30,120.0,35,770 BCE,680 BCE
Xia Dynasty,105,30,120.0,40,2035 BCE,1600 BCE
Xian,110,30,115.0,35,770 BCE,655 BCE
Xian Peoples,105,30,110.0,35,1423 BCE,1414 BCE
Xiang,115,35,120.0,40,770 BCE,721 BCE
Xiang(2),115,30,120.0,35,770 BCE,643 BCE
Xianyu,110,35,120.0,40,770 BCE,506 BCE
Xiao,115,30,120.0,35,499 BCE,496 BCE
Xing,110,35,120.0,40,770 BCE,635 BCE
Xirong,110,30,115.0,35,770 BCE,690 BCE
Xu,105,25,125.0,35,945 BCE,512 BCE
Xu(2),110,30,115.0,35,770 BCE,371 BCE
Xue,115,30,125.0,40,1750 BCE,335 BCE
Xun,110,35,115.0,40,770 BCE,684 BCE
Xuqu,115,35,120.0,40,770 BCE,620 BCE
Yaminites,40,35,45.0,40,1769 BCE,1768 BCE
Yamkhad,35,30,45.0,40,2004 BCE,1543 BCE
Yan,110,30,130.0,45,770 BCE,1 BCE
Yan(2),110,30,115.0,35,770 BCE,764 BCE
Yan(3),115,30,125.0,35,770 BCE,680 BCE
Yang,110,35,115.0,40,770 BCE,678 BCE
Yang(2),115,35,120.0,40,770 BCE,660 BCE
Yangyue,110,25,120.0,30,770 BCE,500 BCE
Yaudheya,70,25,80.0,35,550 BCE,322 BCE
Yemen,40,10,55.0,20,1990 CE,present
Yi,120,35,125.0,40,770 BCE,659 BCE
Yi-Luo Rong,110,30,115.0,35,770 BCE,588 BCE
Yihu,115,30,120.0,35,770 BCE,491 BCE
Ying,110,30,115.0,35,770 BCE,678 BCE
Yingshi,115,30,120.0,35,770 BCE,646 BCE
Yiqu,105,30,110.0,40,771 BCE,1 BCE
Yong,105,30,115.0,35,770 BCE,611 BCE
Yu,110,30,115.0,40,770 BCE,655 BCE
Yu(2),105,30,115.0,35,770 BCE,611 BCE
Yu(3),115,35,120.0,40,770 BCE,524 BCE
Yue,115,25,125.0,40,770 BCE,306 BCE
Yue Peoples,115,25,125.0,35,1200 BCE,504 BCE
Yueshi Culture,115,30,125.0,40,1900 BCE,1500 BCE
Yuezhi,72,40,90.0,45,1235 BCE,1 BCE
Yugoslavia,18,40,24.0,50,1990 CE,present
Yun,110,30,115.0,35,770 BCE,700 BCE
Yuqui,115,30,120.0,35,770 BCE,692 BCE
Zabakhi,42,40,48.0,45,880 BCE,591 BCE
Zahara,45,25,60.0,35,2277 BCE,2206 BCE
Zaire,10,-15,35.0,10,1990 CE,present
Zalmaqum,35,35,45.0,40,1778 BCE,1615 BCE
Zambia,20,-20,35.0,-5,1990 CE,present
Zamua,40,35,50.0,40,882 BCE,880 BCE
Zapotecs,-100,15,-95.0,20,1400 BCE,1 BCE
Zeng,110,30,115.0,35,771 BCE,677 BCE
Zeng(2),115,30,120.0,40,770 BCE,567 BCE
Zhang,115,35,120.0,40,770 BCE,664 BCE
Zhangzhung,75,25,90.0,40,500 BCE,1 BCE
Zhao,102,30,120.0,45,453 BCE,1 BCE
Zhao clan,110,35,115.0,40,500 BCE,453 BCE
Zhen,110,30,115.0,35,770 BCE,700 BCE
Zheng,110,30,120.0,40,770 BCE,375 BCE
Zhi clan,110,35,115.0,40,500 BCE,453 BCE
Zhonghang clan,110,35,120.0,40,500 BCE,490 BCE
Zhongli,115,30,120.0,35,770 BCE,560 BCE
Zhongshan,110,35,120.0,40,506 BCE,296 BCE
Zhongwu,115,30,120.0,35,770 BCE,512 BCE
Zhou,100,30,125.0,40,1125 BCE,1045 BCE
Zhou Dynasty,100,25,125.0,45,1045 BCE,1 BCE
Zhou(2),110,25,115.0,35,770 BCE,700 BCE
Zhou(3),115,35,120.0,40,770 BCE,706 BCE
Zhoulai,115,30,120.0,35,770 BCE,600 BCE
Zhu,115,30,120.0,40,770 BCE,1 BCE
Zhu(2),115,35,120.0,40,770 BCE,517 BCE
Zhu(3),115,35,120.0,40,770 BCE,768 BCE
Zhuan,115,30,120.0,35,770 BCE,585 BCE
Zhuanyu,115,35,120.0,40,770 BCE,483 BCE
Zimbabwe,25,-25,35.0,-15,1990 CE,present
Zippasla,25,30,35.0,40,1421 BCE,1395 BCE
Zong,115,30,120.0,35,770 BCE,615 BCE
Zuo,110,30,115.0,40,770 BCE,750 BCE
the Netherlands,-75,10,8.0,55,1990 CE,present
